1, 12
1, 15
1, 59
1, 76
1, 79
1, 80
2, 10
2, 11
2, 76
2, 79
2, 80
3, 26
3, 76
3, 79
3, 80
3, 81
3, 82
4, 12
4, 15
4, 30
4, 70
4, 76
4, 79
5, 15
5, 30
5, 59
5, 76
5, 79
6, 30
6, 59
6, 70
6, 76
6, 79
6, 80
7, 12
7, 30
7, 76 
7, 79
8, 70
8, 76
8, 79
8, 81
9, 59
9, 76
9, 79
9, 80
9, 81
10, 12
10, 30
10, 76
10, 79
11, 15
11, 70
11, 76
11, 79
12, 15
12, 76
12, 79
12, 80
13, 76
14, 12
14, 15
14, 76
14, 79
15, 30
15, 76
15, 79
16, 76
16, 79
17, 76
17, 79
18, 12
18, 30
18, 76
18, 79
18, 80
19, 15
19, 30
19, 76
19, 79
20, 12
20, 30
20, 70
20, 76
20, 79
20, 80
21, 30
21, 70
21, 76
22, 28
22, 30
22, 70
22, 76
23, 16
24, 16
25, 16
26, 16
27, 16
28, 16
29, 16
30, 16
31, 16
32, 16
33, 16
34, 16
35, 16
36, 3
37, 3
38, 3
39, 3
40, 3
41, 3
42, 3
43, 3
44, 3
45, 3
46, 3
47, 7
48, 7
49, 7
50, 7
51, 7
52, 21
53, 21
54, 21
55, 21
56, 21
57, 21
58, 21
59, 21
60, 21
61, 21
62, 21
63, 21
64, 21
65, 21
66, 21
67, 21
68, 21
69, 21
70, 21
71, 21
72, 46
73, 23
73, 82
73, 83
74, 77
75, 23
75, 83
76, 78
77, 78
78, 78
79, 77
80, 29
80, 78
81, 23
81, 82
81, 83
82, 25
82, 58
82, 63
83, 84
84, 85 
85, 31
86, 89
87, 56 
87, 57
88, 78 
89, 27
90, 64
91, 57
92, 6
93, 6
94, 6
95, 6
96, 6
97, 6
98, 6
99, 6
100, 6
101, 6
102, 6
103, 6
104, 6
105, 6
106, 6
107, 6
108, 6
109, 6
110, 6
111, 6
112, 6
113, 6
114, 6
115, 6
116, 6
117, 6
118, 6
119, 6
120, 6
121, 6
122, 6
123, 6
124, 6
125, 6
126, 6
127, 6
128, 18
129, 18
130, 18
131, 18
132, 18
132, 76
133, 18 
133, 76
134, 18 
134, 76
135, 30
135, 70
135, 76
135, 79
136, 76
136, 79
137, 12
147, 70
137, 76
137, 79
138, 30
138, 76
139, 12
139, 15
139, 76
139, 79
140, 15
140, 30
140, 76
140, 79
141, 30
141, 70
141, 76
142, 76
143, 59
143, 76
143, 79
143, 80
143, 81
144, 70
144, 76
145, 12
145, 76
145, 79
146, 30
146, 70
146, 76
147, 12
147, 15
147, 76
147, 79
148, 70
148, 76
149, 12
149, 15
149, 76
149, 79
150, 76
150, 79
